#RPLIDAR SCAN DATA
#COUNT=806
#Angule	Distance	Quality
74.3719 163.0 188
74.6851 163.0 188
75.0146 163.0 188
75.2783 164.0 188
75.6079 164.0 188
76.2451 165.0 188
72.0428 480.0 188
72.6855 480.0 188
81.0297 644.0 188
81.3593 646.0 188
81.6229 654.0 188
81.9525 662.0 188
82.2162 668.0 188
82.5458 678.0 188
82.8094 688.0 188
83.1390 684.0 188
83.5126 682.0 188
83.7762 690.0 188
84.4354 702.0 188
84.8749 660.0 188
85.1825 656.0 188
85.5121 656.0 188
85.8417 662.0 188
86.1713 660.0 188
86.4844 652.0 188
86.8085 648.0 188
87.1381 648.0 188
87.4512 650.0 188
87.7808 652.0 188
88.1049 654.0 188
88.4344 654.0 188
88.7476 656.0 188
89.0771 656.0 188
89.4012 656.0 188
89.7308 658.0 188
90.0439 662.0 188
90.3735 664.0 188
90.6372 666.0 188
91.2964 670.0 188
92.2961 510.0 188
92.6093 505.0 188
92.9993 501.0 188
93.3124 496.0 188
93.6365 492.0 188
94.0155 490.0 188
94.3396 489.0 188
94.6692 489.0 188
94.9988 489.0 188
95.3119 489.0 188
95.6360 489.0 188
95.9656 489.0 188
96.2787 490.0 188
96.6083 491.0 188
96.8719 492.0 188
97.2015 494.0 188
97.5146 496.0 188
97.8387 498.0 188
98.1683 501.0 188
98.4375 506.0 188
98.7012 514.0 188
99.6405 694.0 188
99.9646 700.0 188
100.2942 702.0 188
100.5579 704.0 188
100.8710 704.0 188
101.2006 706.0 188
101.5302 706.0 188
101.8542 706.0 188
102.1674 706.0 188
102.4969 708.0 188
102.8265 708.0 188
103.1396 710.0 188
103.4637 710.0 188
103.7933 712.0 188
104.1064 714.0 188
104.4360 716.0 188
104.7656 716.0 188
105.0732 718.0 188
105.4028 720.0 188
105.7324 720.0 188
106.0455 720.0 188
106.3092 724.0 188
106.6388 726.0 188
106.9684 728.0 188
107.2760 728.0 188
107.6056 728.0 188
107.9352 728.0 188
108.2483 732.0 188
108.5779 734.0 188
108.9020 738.0 188
109.2316 740.0 188
109.5447 742.0 188
109.8743 744.0 188
110.1984 744.0 188
110.5115 744.0 188
110.8411 744.0 188
111.1047 748.0 188
111.4343 752.0 188
111.7474 752.0 188
112.0770 748.0 188
112.4506 744.0 188
112.7802 742.0 188
113.1042 742.0 188
113.4174 742.0 188
113.7469 742.0 188
114.0765 742.0 188
114.3896 744.0 188
114.7137 744.0 188
114.9829 746.0 188
115.3125 748.0 188
115.6201 752.0 188
115.9497 754.0 188
116.2793 756.0 188
116.5924 758.0 188
116.9165 762.0 188
117.2461 764.0 188
117.5153 770.0 188
118.1525 778.0 188
118.9490 1098.0 188
119.2621 1106.0 188
119.5917 1114.0 188
119.8553 1118.0 188
120.1849 1120.0 188
120.5145 1122.0 188
120.8276 1130.0 188
121.1517 1138.0 188
121.4813 1152.0 188
122.5909 1984.0 188
122.9041 1990.0 188
123.2336 2000.0 188
123.5577 2008.0 188
123.8873 2016.0 188
124.2004 2022.0 188
124.5300 2026.0 188
124.8431 2038.0 188
125.8099 2048.0 188
127.5293 656.0 188
127.8589 648.0 188
128.2324 646.0 188
128.5620 644.0 188
128.8696 642.0 188
129.1992 638.0 188
129.5123 636.0 188
129.8419 632.0 188
130.2155 630.0 188
130.5450 628.0 188
130.8582 626.0 188
131.1823 622.0 188
131.5118 618.0 188
131.8854 614.0 188
132.1985 612.0 188
132.5281 608.0 188
132.8577 604.0 188
133.1708 602.0 188
133.5443 598.0 188
133.8739 592.0 188
134.1980 590.0 188
134.5111 586.0 188
134.8901 580.0 188
135.2142 574.0 188
135.5933 570.0 188
135.9174 568.0 188
136.2305 568.0 188
136.5601 566.0 188
136.8896 564.0 188
137.2028 564.0 188
137.5269 562.0 188
137.8400 560.0 188
138.1696 560.0 188
138.5431 558.0 188
138.8727 558.0 188
139.1858 558.0 188
139.5154 556.0 188
139.8395 556.0 188
140.1526 556.0 188
140.4822 556.0 188
140.7953 556.0 188
141.1249 554.0 188
141.4490 554.0 188
141.7621 554.0 188
142.0917 554.0 188
142.4048 554.0 188
142.7344 554.0 188
143.0585 552.0 188
143.3716 554.0 188
143.7012 554.0 188
144.0143 554.0 188
144.3384 552.0 188
144.6680 552.0 188
144.9811 552.0 188
145.3107 552.0 188
145.6403 552.0 188
145.9479 554.0 188
146.2775 554.0 188
146.5906 556.0 188
146.9202 558.0 188
147.1838 562.0 188
147.5134 564.0 188
147.8265 566.0 188
148.1561 570.0 188
148.4198 572.0 188
148.7329 574.0 188
149.0625 576.0 188
149.3866 578.0 188
149.6997 580.0 188
150.0293 582.0 188
150.2930 586.0 188
150.6061 588.0 188
150.9357 592.0 188
151.2653 596.0 188
151.5289 602.0 188
151.8420 614.0 188
152.1057 626.0 188
152.3749 640.0 188
152.6385 650.0 188
152.9681 662.0 188
153.2318 672.0 188
154.1382 684.0 188
154.4952 812.0 188
154.8248 812.0 188
155.1544 810.0 188
155.4675 810.0 188
155.7916 808.0 188
156.1212 806.0 188
156.4343 804.0 188
156.7639 802.0 188
157.0935 802.0 188
157.4176 800.0 188
157.7307 800.0 188
158.0603 800.0 188
158.3899 800.0 188
158.7140 798.0 188
159.0271 796.0 188
159.3567 798.0 188
159.6863 804.0 188
160.6531 808.0 188
161.3232 1888.0 188
161.6364 1884.0 188
161.9659 1880.0 188
162.2955 1874.0 188
162.6196 1872.0 188
162.9327 1870.0 188
163.2623 1866.0 188
163.5919 1864.0 188
163.9050 1862.0 188
164.2291 1860.0 188
164.5587 1856.0 188
164.8883 1854.0 188
165.2014 1854.0 188
165.5310 1852.0 188
165.8551 1848.0 188
166.1847 1846.0 188
166.4978 1844.0 188
166.8274 1844.0 188
167.1515 1840.0 188
167.4646 1836.0 188
167.7942 1832.0 188
168.1238 1830.0 188
168.4479 1828.0 188
168.7610 1826.0 188
169.0906 1826.0 188
169.4202 1822.0 188
169.7498 1820.0 188
170.0574 1818.0 188
170.3870 1818.0 188
170.7166 1818.0 188
171.3593 1812.0 188
171.7493 1664.0 188
172.3865 1716.0 188
172.7161 1718.0 188
173.3093 1808.0 188
173.6224 1808.0 188
173.9520 1806.0 188
174.2761 1806.0 188
174.6057 1806.0 188
174.9188 1806.0 188
175.2484 1804.0 188
175.5780 1804.0 188
175.8856 1802.0 188
176.2152 1802.0 188
176.5448 1802.0 188
176.8744 1802.0 188
177.1875 1802.0 188
177.5116 1802.0 188
177.8412 1800.0 188
178.1708 1802.0 188
178.4839 1800.0 188
179.1376 1802.0 188
179.8901 1636.0 188
180.1538 1664.0 188
180.7471 1794.0 188
181.0767 1800.0 188
181.4063 1802.0 188
181.7303 1802.0 188
182.0435 1804.0 188
182.3730 1804.0 188
182.7026 1804.0 188
183.0103 1806.0 188
183.3398 1806.0 188
183.6694 1806.0 188
183.9990 1806.0 188
184.3121 1808.0 188
184.6362 1808.0 188
184.9658 1810.0 188
185.2954 1810.0 188
185.6085 1812.0 188
185.9326 1812.0 188
186.2622 1812.0 188
186.5918 1814.0 188
186.9214 1816.0 188
187.2290 1816.0 188
187.8882 1818.0 188
188.6517 1540.0 188
189.0308 1536.0 188
189.3549 1534.0 188
189.6405 1538.0 188
189.9481 1540.0 188
190.9369 1544.0 188
191.4642 1842.0 188
191.7938 1846.0 188
192.1234 1848.0 188
192.4530 1850.0 188
192.7771 1852.0 188
193.1067 1856.0 188
193.4198 1858.0 188
193.7494 1860.0 188
194.0735 1862.0 188
194.4031 1864.0 188
194.7327 1868.0 188
195.0623 1870.0 188
195.3864 1872.0 188
195.6995 1876.0 188
196.0291 1878.0 188
196.3586 1882.0 188
196.6827 1886.0 188
197.0123 1890.0 188
197.2760 1892.0 188
197.6056 1898.0 188
197.9352 1904.0 188
198.2648 1908.0 188
198.5779 1910.0 188
198.9020 1912.0 188
199.2316 1916.0 188
199.5612 1920.0 188
199.8853 1924.0 188
200.2148 1926.0 188
200.5280 1930.0 188
200.8575 1936.0 188
201.1871 1928.0 188
201.5112 1926.0 188
201.8408 1912.0 188
202.1704 1892.0 188
202.5000 1894.0 188
202.8076 1896.0 188
203.1372 1900.0 188
203.4668 1908.0 188
203.7964 1912.0 188
204.1205 1916.0 188
204.4501 1918.0 188
205.4169 1932.0 188
205.7465 1950.0 188
206.4056 1944.0 188
207.7020 1902.0 188
208.4052 1862.0 188
208.7292 1832.0 188
209.3884 1818.0 188
210.4211 1640.0 188
211.4484 1622.0 188
213.3545 1748.0 188
216.8097 596.0 188
217.7930 598.0 188
